RANK,TEAM,RECORD,AVG MAR,W,L,WIN %,OPP RANK,SCHED STR
1,South Carolina (SEC),32-0,30.3,32,0,100.00%,15,17.2
2,LSU (SEC),28-2,26.4,28,2,93.33%,77,4.8
4,Indiana (Big Ten),27-3,19.2,27,3,90.00%,12,17.8
6,Stanford (Pac-12),28-5,17.8,28,5,84.85%,6,19
9,Utah (Pac-12),25-4,17.6,25,4,86.21%,41,12
10,Middle Tenn. (C-USA),25-4,17.3,25,4,86.21%,92,1.8
11,UConn (Big East),28-5,17.3,28,5,84.85%,1,20
12,Texas (Big 12),23-8,16.9,23,8,74.19%,28,14.6
14,Iowa (Big Ten),26-6,16.2,26,6,81.25%,8,18.6
15,Notre Dame (ACC),25-5,16,25,5,83.33%,18,16.6
16,Virginia Tech (ACC),27-4,15.5,27,4,87.10%,35,13.2
22,Gonzaga (WCC),27-3,13.3,27,3,90.00%,84,3.4
23,Florida St. (ACC),23-9,13.1,23,9,71.88%,38,12.6
25,Villanova (Big East),28-5,13,28,5,84.85%,31,14
28,South Fla. (AAC),26-5,12.5,26,5,83.87%,73,5.6
28,Ole Miss (SEC),23-8,12.5,23,8,74.19%,71,6
27,Ohio St. (Big Ten),25-7,12.5,25,7,78.13%,35,13.2
30,Mississippi St. (SEC),20-10,12.4,20,10,66.67%,75,5.2
31,Duke (ACC),25-6,12.4,25,6,80.65%,4,19.4
35,Iowa St. (Big 12),19-9,11.5,19,9,67.86%,10,18.2
39,Michigan (Big Ten),22-9,11.2,22,9,70.97%,50,10.2
40,Michigan St. (Big Ten),16-14,11.1,16,14,53.33%,73,5.6
41,Illinois (Big Ten),22-9,10.9,22,9,70.97%,78,4.6
43,UNI (MVC),21-8,10.3,21,8,72.41%,90,2.2
46,Colorado (Pac-12),23-8,10.2,23,8,74.19%,28,14.6
48,Alabama (SEC),20-10,10.1,20,10,66.67%,56,9
49,Maryland (Big Ten),25-6,10.1,25,6,80.65%,5,19.2
50,Baylor (Big 12),19-11,9.9,19,11,63.33%,26,15
50,Creighton (Big East),22-8,9.9,22,8,73.33%,19,16.4
53,Oregon (Pac-12),17-14,9.9,17,14,54.84%,9,18.4
54,Oklahoma (Big 12),24-5,9.8,24,5,82.76%,47,10.8
56,North Carolina (ACC),21-10,9.7,21,10,67.74%,12,17.8
57,Tennessee (SEC),23-11,9.7,23,11,67.65%,2,19.8
58,Southern California (Pac-12),21-9,9.6,21,9,70.00%,53,9.6
59,Arizona (Pac-12),21-9,9.6,21,9,70.00%,22,15.8
60,Louisville (ACC),23-11,9.5,23,11,67.65%,14,17.4
62,Kansas (Big 12),19-10,9.4,19,10,65.52%,35,13.2
68,Georgia (SEC),21-11,8.7,21,11,65.63%,50,10.2
69,NC State (ACC),20-11,8.5,20,11,64.52%,2,19.8
72,UCLA (Pac-12),25-9,8.3,25,9,73.53%,15,17.2
73,Oklahoma St. (Big 12),20-10,8,20,10,66.67%,41,12
77,Portland (WCC),21-8,7.8,21,8,72.41%,82,3.8
85,Tulane (AAC),17-12,7.1,17,12,58.62%,92,1.8
87,Marquette (Big East),21-10,7.1,21,10,67.74%,38,12.6
88,Memphis (AAC),19-9,7,19,9,67.86%,79,4.4
90,Miami (FL) (ACC),19-12,6.9,19,12,61.29%,41,12
97,Arkansas (SEC),21-12,6.3,21,12,63.64%,31,14
98,Washington St. (Pac-12),23-10,6.2,23,10,69.70%,6,19
100,St. John's (NY) (Big East),22-8,6.1,22,8,73.33%,68,6.6
102,Nebraska (Big Ten),16-14,5.9,16,14,53.33%,24,15.4
106,Belmont (MVC),21-10,5.7,21,10,67.74%,85,3.2
108,Syracuse (ACC),18-12,5.6,18,12,60.00%,64,7.4
112,Virginia (ACC),15-15,5.5,15,15,50.00%,57,8.8
110,Purdue (Big Ten),19-10,5.5,19,10,65.52%,24,15.4
114,SMU (AAC),16-11,5.3,16,11,59.26%,80,4.2
113,West Virginia (Big 12),19-10,5.3,19,10,65.52%,76,5
119,Houston (AAC),13-15,5,13,15,46.43%,64,7.4
126,DePaul (Big East),16-17,4.3,16,17,48.48%,53,9.6
143,Clemson (ACC),17-15,3.5,17,15,53.13%,47,10.8
146,San Francisco (WCC),19-12,3.2,19,12,61.29%,92,1.8
150,Missouri (SEC),17-13,3.1,17,13,56.67%,31,14
151,BYU (WCC),16-15,2.9,16,15,51.61%,88,2.6
155,Seton Hall (Big East),18-14,2.6,18,14,56.25%,59,8.4
157,Oregon St. (Pac-12),13-18,2.2,13,18,41.94%,20,16.2
159,Missouri St. (MVC),19-10,2.1,19,10,65.52%,100,0.2
160,Texas Tech (Big 12),18-13,2.1,18,13,58.06%,68,6.6
160,Kansas St. (Big 12),16-15,2.1,16,15,51.61%,41,12
166,Washington (Pac-12),15-14,1.9,15,14,51.72%,30,14.2
180,Pacific (WCC),15-16,0.5,15,16,48.39%,97,0.8
182,San Diego (WCC),17-13,0.3,17,13,56.67%,99,0.4
183,Auburn (SEC),15-14,0.3,15,14,51.72%,62,7.8
185,Florida (SEC),16-14,0.2,16,14,53.33%,68,6.6
191,Saint Louis (Atlantic 10),17-17,-0.1,17,17,50.00%,86,3
197,Wake Forest (ACC),16-16,-0.5,16,16,50.00%,23,15.6
202,Boston College (ACC),16-17,-0.8,16,17,48.48%,46,11
205,Kentucky (SEC),12-19,-1.1,12,19,38.71%,53,9.6
